"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"FCGR2A"	2.1723603037912e-12	0.161879850839378	0.538	0.215	5.02857963121586e-08	"Mig"	"FCGR2A"	"80-90"
"PSAP"	2.52182499384171e-12	0.467653301904508	0.606	0.28	5.83752049574478e-08	"Mig"	"PSAP"	"80-90"
"SENP5"	2.71626689946158e-12	1.00993369333256	0.247	0.033	6.28761461887366e-08	"Mig"	"SENP5"	"80-90"
"GNG5"	2.81172972658159e-12	0.847860819040968	0.243	0.033	6.50859197109106e-08	"Mig"	"GNG5"	"80-90"
"H3-3A"	2.97022811460969e-12	0.49166987704393	0.286	0.057	6.87548403969851e-08	"Mig"	"H3-3A"	"80-90"
"ISCU"	3.06715098489707e-12	1.65431831938275	0.176	0	7.09984109983973e-08	"Mig"	"ISCU"	"80-90"
"LINC00339"	3.20911083515218e-12	-2.13408886050669	0.024	0.159	7.42844976121028e-08	"Mig"	"LINC00339"	"80-90"
"PLAUR"	3.30655550363059e-12	1.44454245077386	0.201	0.012	7.65401467980408e-08	"Mig"	"PLAUR"	"80-90"
"TLN1"	3.47154193156089e-12	1.14956860593564	0.304	0.073	8.03592526317715e-08	"Mig"	"TLN1"	"80-90"
"ADAM28"	3.57775457669868e-12	0.0709010642871846	0.467	0.175	8.2817862941421e-08	"Mig"	"ADAM28"	"80-90"
"EIF1"	3.77042054532986e-12	0.935010408605608	0.578	0.293	8.72776947832957e-08	"Mig"	"EIF1"	"80-90"
"COX6B1"	4.11126024171551e-12	1.33322646018119	0.213	0.02	9.51674520752305e-08	"Mig"	"COX6B1"	"80-90"
"COX7A2"	4.16384799423757e-12	1.23252736430403	0.233	0.028	9.63847533706113e-08	"Mig"	"COX7A2"	"80-90"
"TMEM219"	4.22299864893694e-12	0.338850878198009	0.183	0.004	9.77539727255923e-08	"Mig"	"TMEM219"	"80-90"
"TUBAP2"	4.27465035654602e-12	0.822215304415664	0.225	0.024	9.89496064533272e-08	"Mig"	"TUBAP2"	"80-90"
"VAMP8"	4.75960852008748e-12	0.528786031695244	0.247	0.037	1.10175418022985e-07	"Mig"	"VAMP8"	"80-90"
"COX7C"	5.03440830119421e-12	1.67897497949252	0.229	0.028	1.16536483356043e-07	"Mig"	"COX7C"	"80-90"
"RPN2"	5.17179337533837e-12	1.37594938056225	0.247	0.037	1.19716673052333e-07	"Mig"	"RPN2"	"80-90"
"COX4I1"	6.06699871578532e-12	0.897138728129663	0.254	0.041	1.40438886272999e-07	"Mig"	"COX4I1"	"80-90"
