"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"
"C1orf132"	4.90399325646989e-09	0.269748501495257	0.341	0.277	0.000160546931230311	"Mig"	"C1orf132"	"Temporal lobe"
"CIITA"	6.37003317295075e-09	0.218994528651332	0.243	0.181	0.000208542146016062	"Mig"	"CIITA"	"Temporal lobe"
"FSCN1"	6.45303325862246e-09	-0.277106817434784	0.497	0.551	0.000211259402820782	"Mig"	"FSCN1"	"Temporal lobe"
"ERVH-1"	6.84774165597764e-09	-0.230009429064766	0.062	0.104	0.000224181366333396	"Mig"	"ERVH-1"	"Temporal lobe"
"ABCG2"	7.01184005071604e-09	-0.21839306868606	0.075	0.121	0.000229553619580342	"Mig"	"ABCG2"	"Temporal lobe"
"MAP4K4"	9.42611739478068e-09	0.28107323297269	0.426	0.363	0.00030859223127033	"Mig"	"MAP4K4"	"Temporal lobe"
"CD300E"	9.96662942826357e-09	-0.234430876871044	0.063	0.104	0.000326287514222493	"Mig"	"CD300E"	"Temporal lobe"
"HLA-B"	1.13399810153617e-08	0.183828286638149	0.806	0.784	0.000371248298480912	"Mig"	"HLA-B"	"Temporal lobe"
"AC007743.1"	1.31115993856642e-08	-0.159933340893066	0.078	0.123	0.000429247540687876	"Mig"	"AC007743.1"	"Temporal lobe"
"LRRC25"	1.39725708742242e-08	-0.222296697162537	0.127	0.18	0.000457434025280352	"Mig"	"LRRC25"	"Temporal lobe"
"PLK3"	1.71189227631807e-08	0.245300732071042	0.156	0.108	0.000560439293421009	"Mig"	"PLK3"	"Temporal lobe"
"HLA-DPB1"	1.71798463033639e-08	0.289135136611641	0.481	0.429	0.000562433808279527	"Mig"	"HLA-DPB1"	"Temporal lobe"
"OPHN1"	1.71992815793193e-08	-0.167490206099026	0.091	0.138	0.000563070080343755	"Mig"	"OPHN1"	"Temporal lobe"
"RTN4"	1.76859436590544e-08	0.201252967737878	0.665	0.628	0.000579002423510123	"Mig"	"RTN4"	"Temporal lobe"
"PPP1R15A"	2.07916913095824e-08	0.255461652855222	0.114	0.073	0.000680678390093109	"Mig"	"PPP1R15A"	"Temporal lobe"
"HNRNPU-AS1"	2.08401766709717e-08	0.227799462860222	0.229	0.172	0.000682265703854271	"Mig"	"HNRNPU-AS1"	"Temporal lobe"
"KHDRBS3"	2.32404703852476e-08	-0.273947723026349	0.17	0.228	0.000760846519472235	"Mig"	"KHDRBS3"	"Temporal lobe"
"LCLAT1"	3.0277819078464e-08	-0.236948006387147	0.124	0.174	0.000991235240990754	"Mig"	"LCLAT1"	"Temporal lobe"
"BTG2"	3.57535746236048e-08	0.291978517554347	0.513	0.454	0.00117050052602757	"Mig"	"BTG2"	"Temporal lobe"
"RASGEF1C"	3.83368748405458e-08	-0.242843424019408	0.22	0.28	0.00125507260852979	"Mig"	"RASGEF1C"	"Temporal lobe"
"ORC4"	4.02874022753558e-08	-0.241305448745062	0.317	0.376	0.0013189289756906	"Mig"	"ORC4"	"Temporal lobe"
"LARS"	4.09320121673322e-08	0.237541751767664	0.185	0.134	0.00134003221433412	"Mig"	"LARS"	"Temporal lobe"
"SRSF5"	4.18295487105134e-08	0.256777214921438	0.47	0.421	0.00136941576568479	"Mig"	"SRSF5"	"Temporal lobe"
"CTD-2353F22.2"	4.85577815452133e-08	0.177104655892575	0.238	0.182	0.00158968465222719	"Mig"	"CTD-2353F22.2"	"Temporal lobe"
"ITGAM"	5.18449356417762e-08	-0.197554582346933	0.416	0.487	0.00169729950304047	"Mig"	"ITGAM"	"Temporal lobe"
"TMEM236"	5.86159330165276e-08	-0.229270378909034	0.073	0.113	0.00191896841509508	"Mig"	"TMEM236"	"Temporal lobe"
"SERPINA1"	6.43500689598046e-08	-0.258713624361068	0.265	0.327	0.00210669255760608	"Mig"	"SERPINA1"	"Temporal lobe"
"TPTEP1"	6.68761881303012e-08	-0.296760603251167	0.185	0.235	0.0021893926470098	"Mig"	"TPTEP1"	"Temporal lobe"
