"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"UEVLD"	0.00557343404700691	-0.21805276569987	0.041	0.208	1	"Ast"	"UEVLD"	"40-60"
"TNFAIP6"	0.00578618840684408	-0.425928978427446	0.01	0.125	1	"Ast"	"TNFAIP6"	"40-60"
"PER2"	0.00578618840684408	-0.049397283194873	0.01	0.125	1	"Ast"	"PER2"	"40-60"
"CFI"	0.00578618840684408	-0.120408367423367	0.01	0.125	1	"Ast"	"CFI"	"40-60"
"TSPYL4"	0.00578618840684408	0.0328754164099065	0.01	0.125	1	"Ast"	"TSPYL4"	"40-60"
"EPHA1-AS1"	0.00578618840684408	-0.0969703794671129	0.01	0.125	1	"Ast"	"EPHA1-AS1"	"40-60"
"ARMCX5"	0.00578618840684408	-0.101303099688357	0.01	0.125	1	"Ast"	"ARMCX5"	"40-60"
"JHY"	0.00578618840684408	-0.144642508054288	0.01	0.125	1	"Ast"	"JHY"	"40-60"
"SEC31B"	0.00578618840684408	-0.149179431031017	0.01	0.125	1	"Ast"	"SEC31B"	"40-60"
"INPP5F"	0.00578618840684408	0.0545577367107217	0.01	0.125	1	"Ast"	"INPP5F"	"40-60"
"PIGB"	0.00578618840684408	-0.0964715555548432	0.01	0.125	1	"Ast"	"PIGB"	"40-60"
"HAUS8"	0.00578618840684408	-0.0525943618283059	0.01	0.125	1	"Ast"	"HAUS8"	"40-60"
"ZNF230"	0.00578618840684408	-0.112795611203368	0.01	0.125	1	"Ast"	"ZNF230"	"40-60"
"MYPOP"	0.00578618840684408	-0.0558052441192421	0.01	0.125	1	"Ast"	"MYPOP"	"40-60"
"SIK1"	0.00578618840684408	-0.147992574752368	0.01	0.125	1	"Ast"	"SIK1"	"40-60"
"ADM"	0.00579507203731932	-1.15224144468537	0.082	0.292	1	"Ast"	"ADM"	"40-60"
"SH3BGRL3"	0.00601960759647011	0.978012472462434	0.773	0.625	1	"Ast"	"SH3BGRL3"	"40-60"
"SYNE1"	0.00603565389238563	-1.05973004708141	0.113	0.333	1	"Ast"	"SYNE1"	"40-60"
